lightningId,lightningTimestamp,lightningLatitude,lightningLongitude,nearestDistanceKm,volcanoName,volcanoLatitude,volcanoLongitude,dataSource,datetime
163049,1587777802,-0.457,-77.4873,17.849241644,Sumaco,-0.538,-77.626,EN,2020-04-25 01:23:22
163048,1587777686,-6.568,155.5386,10.4511851993,Loloru,-6.52,155.62,EN,2020-04-25 01:21:26
163047,1587777577,-0.4601,-77.5025,16.2230889715,Sumaco,-0.538,-77.626,EN,2020-04-25 01:19:37
163046,1587777574,-6.6707,155.54808,18.4663161724,Loloru,-6.52,155.62,EN,2020-04-25 01:19:34
163045,1587777574,19.1048,-97.292,5.51281664616,"Cumbres,  Las",19.15,-97.27,EN,2020-04-25 01:19:34
163044,1587777490,36.58111,40.70408,14.2418407724,Sharat Kovakab,36.53,40.85,EN,2020-04-25 01:18:10
163043,1587777386,-0.4754,-77.4619,19.5343313572,Sumaco,-0.538,-77.626,EN,2020-04-25 01:16:26
163042,1587777384,19.17429,-97.29405,3.69179575553,"Cumbres,  Las",19.15,-97.27,EN,2020-04-25 01:16:24
163041,1587777322,19.1542,-97.3285,6.17150080886,"Cumbres,  Las",19.15,-97.27,EN,2020-04-25 01:15:22
163040,1587777230,-0.6807,-77.5586,17.4717905552,Sumaco,-0.538,-77.626,EN,2020-04-25 01:13:50
163039,1587777052,10.4143,-84.7828,10.264317798,Arenal,10.463,-84.703,EN,2020-04-25 01:10:52
163038,1587777001,-6.6237,155.5268,15.4193355224,Loloru,-6.52,155.62,EN,2020-04-25 01:10:01
163037,1587777001,10.9223,-85.1645,19.3209030281,Miravalles,10.748,-85.153,EN,2020-04-25 01:10:01
163036,1587776953,10.7601,-85.2332,8.87356664834,Miravalles,10.748,-85.153,EN,2020-04-25 01:09:13
163035,1587776851,10.872,-85.6112,19.2599355816,Orosi,10.98,-85.473,EN,2020-04-25 01:07:31
163034,1587776816,-6.6518,155.5068,19.2137415523,Loloru,-6.52,155.62,EN,2020-04-25 01:06:56
163033,1587776798,-0.1431,-77.5158,17.233635536,Reventador,-0.077,-77.656,EN,2020-04-25 01:06:38
163032,1587776787,-0.1182,-77.6111,6.76287084894,Reventador,-0.077,-77.656,EN,2020-04-25 01:06:27
163031,1587776757,10.7867,-85.268,7.77454250907,Rincon de la Vieja,10.83,-85.324,EN,2020-04-25 01:05:57
163030,1587776642,19.0783,-97.4313,18.0009187442,"Orizaba, Pico de",19.03,-97.268,EN,2020-04-25 01:04:02
163028,1587776632,19.213,-97.4633,6.34881458981,Serdan-Oriental,19.27,-97.47,EN,2020-04-25 01:03:52
163029,1587776631,37.60728,39.89108,8.80468211225,Karaca Dag,37.67,39.83,EN,2020-04-25 01:03:51
163027,1587776565,19.1189,-97.4841,16.7915305376,Serdan-Oriental,19.27,-97.47,EN,2020-04-25 01:02:45
163026,1587776511,10.7792,-85.0891,7.79462102887,Miravalles,10.748,-85.153,EN,2020-04-25 01:01:51
163025,1587776493,-0.5952,-77.8989,13.3650871015,Aliso,-0.53,-78.0,EN,2020-04-25 01:01:33
163024,1587776485,10.5603,-84.939,14.9854233825,Tenorio,10.673,-85.015,EN,2020-04-25 01:01:25
163023,1587776466,19.1043,-97.4885,18.444959675,Serdan-Oriental,19.27,-97.47,EN,2020-04-25 01:01:06
163022,1587776388,-0.1194,-77.5922,8.51008117449,Reventador,-0.077,-77.656,EN,2020-04-25 00:59:48
163021,1587776383,19.1802,-97.3812,12.1652074062,"Cumbres,  Las",19.15,-97.27,EN,2020-04-25 00:59:43
163020,1587776383,19.1884,-97.3673,11.082116372,"Cumbres,  Las",19.15,-97.27,EN,2020-04-25 00:59:43
163019,1587776276,-0.664,-77.5277,17.7155505117,Sumaco,-0.538,-77.626,EN,2020-04-25 00:57:56
163017,1587776196,-0.0632,-77.4915,18.3755095297,Reventador,-0.077,-77.656,EN,2020-04-25 00:56:36
163018,1587776195,-1.64753,29.25752,14.1264521878,Nyiragongo,-1.52,29.25,EN,2020-04-25 00:56:35
163016,1587776164,-1.6466,29.2823,14.452867242,Nyiragongo,-1.52,29.25,EN,2020-04-25 00:56:04
163015,1587776145,10.4384,-84.8367,14.8888848887,Arenal,10.463,-84.703,EN,2020-04-25 00:55:45
163014,1587776100,10.4005,-84.8166,14.2303076849,Arenal,10.463,-84.703,EN,2020-04-25 00:55:00
163013,1587776020,-0.6658,-77.9192,17.5035613095,Aliso,-0.53,-78.0,EN,2020-04-25 00:53:40
163012,1587775916,-2.7291,35.9246,4.03510672663,"Lengai, Ol Doinyo",-2.764,35.914,EN,2020-04-25 00:51:56
163011,1587775884,19.1388,-97.4341,15.0058080343,Serdan-Oriental,19.27,-97.47,EN,2020-04-25 00:51:24
