Name,Latitude,Longitude,NOAA,Lightning,PIREP,SO2
Amukta,52.49419,-171.25476,Y,Y,Y,Y
Fisher,54.6692,-164.3524,Y,Y,Y,Y
Folsoms Bluff,58.40881,-155.21516,N,N,N,N
Fourpeaked,58.7703,-153.6738,Y,Y,Y,Y
Frosty,55.0673,-162.8354,Y,Y,Y,Y
Gareloi,51.78887,-178.79368,Y,Y,Y,Y
Gas Rocks,57.8533,-156.494,N,N,N,N
Gilbert,54.2522,-165.6605,N,N,N,N
Gordon,62.1312,-143.0883,Y,Y,Y,Y
Great Sitkin,52.0765,-176.1109,Y,Y,Y,Y
Griggs,58.3572,-155.1037,Y,Y,Y,Y
Hayes,61.5991,-152.4182,Y,Y,Y,Y
Herbert,52.741,-170.113,Y,Y,Y,Y
Andrew Bay volcano,51.9689,-176.632,N,N,N,N
Iliamna,60.0319,-153.0918,Y,Y,Y,Y
Imuruk Lake Volcanic Field,65.6,-163.92,Y,N,Y,Y
Ingakslugwat Hills,61.43,-164.47,Y,N,Y,Y
Ingrisarak Mtn,61.51527,-165.25638,N,N,N,N
Iron Trig cone,58.64226,-154.47059,N,N,N,N
Isanotski,54.76799,-163.72904,N,N,N,N
Iskut-Unuk River cones,56.5196,-130.331,N,N,N,N
Jarvis,62.0233,-143.6201,N,N,N,N
Aniakchak,56.9058,-158.209,Y,Y,Y,Y
Jumbo Dome,63.975,-148.69444,N,N,N,N
Kagamil,52.97347,-169.71737,Y,Y,Y,Y
Kaguyak,58.6113,-154.0245,Y,Y,Y,Y
Kanaga,51.9242,-177.1623,Y,Y,Y,Y
Kasatochi,52.1693,-175.5113,Y,Y,Y,Y
Katmai,58.279,-154.9533,Y,Y,Y,Y
Kejulik,58.02721,-155.66419,N,N,N,N
Kialagvik,57.2019,-156.7467,Y,Y,Y,Y
Kiska,52.1031,177.6035,Y,Y,Y,Y
Klawasi Group,62.0962,-145.0853,N,N,N,N
Knob 1000,58.58947,-154.55804,N,N,N,N
Kochilagok Hill,61.638,-164.414,N,N,N,N
Koniuji,52.22144,-175.13182,Y,Y,Y,Y
Kookooligit Mountains,63.5991,-170.433,Y,Y,Y,Y
Atka Volcanic Complex,52.3309,-174.139,Y,Y,Y,Y
Koyuk-Buckland volcanics,65.65,-160.5,N,N,N,N
Kukak,58.4528,-154.3573,Y,Y,Y,Y
Kupreanof,56.0126,-159.7912,Y,Y,Y,Y
Little Sitkin,51.9531,178.5356,Y,Y,Y,Y
Lost Jim Cone,65.4873,-163.29772,N,N,N,N
Mageik,58.1946,-155.2544,Y,Y,Y,Y
Makushin,53.88707,-166.93202,Y,Y,Y,Y
Martin,58.1692,-155.3566,Y,Y,Y,Y
Moffett,51.937,-176.741,Y,Y,Y,Y
Morzhovoi,54.9991,-162.822,N,N,N,N
Nelson Island,60.45,-164.66,N,N,N,N
Augustine,59.3626,-153.435,Y,Y,Y,Y
Novarupta,58.2654,-155.1591,Y,Y,Y,Y
Nunivak Island,60.099,-166.496,Y,Y,Y,Y
Nushkolik Mountain volcanic field,61.57,-164.91,N,N,N,N
Okmok,53.419,-168.132,Y,Y,Y,Y
Basalt of Gertrude Creek,58.04,-156.14,N,N,N,N
Pavlof,55.4173,-161.8937,Y,Y,Y,Y
Pavlof Sister,55.4569,-161.8544,Y,Y,Y,Y
Behm Canal-Rudyerd Bay,55.3196,-131.051,Y,N,Y,Y
Prindle Volcano,63.7196,-141.6223,N,N,N,N
Rainbow River cone,58.49944,-154.68177,N,N,N,N
Recheshnoi,53.1536,-168.5382,Y,Y,Y,Y
Redoubt,60.4852,-152.7438,Y,Y,Y,Y
Roundtop,54.7992,-163.5914,Y,Y,Y,Y
Sanford,62.2133,-144.1295,Y,Y,Y,Y
Seguam,52.316,-172.51,Y,Y,Y,Y
Segula,52.0138,178.134,Y,Y,Y,Y
Semisopochnoi,51.9288,179.5977,Y,Y,Y,Y
Sergief,52.0533,-174.9521,N,N,N,N
Black Peak,56.5512,-158.787,Y,Y,Y,Y
Shishaldin,54.7554,-163.9711,Y,Y,Y,Y
Skookum Creek,62.3996,-143.1371,N,N,N,N
Snowy,58.3336,-154.6859,Y,Y,Y,Y
Spurr,61.2989,-152.2539,Y,Y,Y,Y
St. George volcanic field,56.58,-169.63,N,N,N,N
St. Michael,63.4493,-162.123,Y,N,Y,Y
St. Paul Island,57.18,-170.3,Y,Y,Y,Y
Steller,58.4301,-154.3903,Y,Y,Y,Y
Blue Mtn,57.7051,-156.8467,N,N,N,N
Suemez Island,55.2268,-133.4032,N,N,N,N
Table Top Mtn,53.9671,-166.679,Y,Y,Y,Y
Takawangha,51.867,-178.027,Y,Y,Y,Y
Tana,52.839,-169.758,N,N,N,N
Tanada Peak,62.302,-143.506,N,N,N,N
Bobrof,51.9072,-177.4409,Y,Y,Y,Y
Tanaga,51.884,-178.143,Y,Y,Y,Y
